full_name,state,population,unemp,health_ins,poverty,snap,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,density,minority_percentage,no_internet,median_income
"Osceola County, Florida",Florida,375751,3.3,15.8,16.3,21.7,29.99,6.195223101,11.25084479,7.77266339,79.8198719,99.14895553,0.238940942,98.47136801,0.2829613227908908,22.9,51760
"Palm Beach County, Florida",Florida,1496770,3.3,13.6,12.8,10.3,35,6.30407195,11.52567289,8.180621177,123.4601298,99.10220726,1,284.088504,0.27606312259064514,16.5,66623
"Pasco County, Florida",Florida,553947,3.5,11.8,13.5,13.9,29.99,4.07914511,9.431653586,6.180010209,95.57390331,98.90334337,0.625350242,264.0275519,0.14111819361780098,19.3,55828
"Pinellas County, Florida",Florida,974996,3,11.5,13,10.9,29.99,4.176509092,9.631861065,6.52240474,98.08437176,99.93357225,1,1351.009895,0.18868385101067087,19,56737
"Polk County, Florida",Florida,724777,3.7,13.2,16.6,15.4,29.99,4.005236789,9.242268459,5.895558654,79.45439397,97.12537031,0.887576108,143.6573523,0.24986444106256134,33,51833
"Putnam County, Florida",Florida,74521,4.3,16,24.8,21.4,35,4.215199101,9.651824213,5.033000161,54.76261987,82.6838854,0.431102435,38.59923128,0.195233558325841,31.2,42899
"St. Johns County, Florida",Florida,264672,2.6,8.4,8.4,5.8,35,5.724945393,10.72494539,7.576299376,96.2123008,97.81168978,0.112634543,151.366953,0.11899256438157413,13.1,90356
"St. Lucie County, Florida",Florida,328297,3.9,14,15,12.9,34.99,6.308865484,12.44255358,8.308865484,112.2787564,98.15786401,0.255225425,206.3889596,0.27970100244595597,17.5,58039
"Santa Rosa County, Florida",Florida,184313,3,10,9.8,11.3,35,6.376032004,12.18724139,7.967557639,110.7575184,97.17428536,0.089018754,65.00332156,0.1473037713020785,13.1,64930
"Sarasota County, Florida",Florida,433742,3.1,11.4,9.7,6.4,29.99,3.659620625,9.76402122,6.733742283,113.0021826,99.15339555,0.594063212,285.7580921,0.09465765362819367,16,66342
"Seminole County, Florida",Florida,471826,2.9,10.4,11.4,8.6,35,6.866752703,11.8667527,8.676731868,92.5705604,99.91309824,0.258414446,567.9030651,0.2839966428301959,10.3,70190
"Sumter County, Florida",Florida,132420,4.6,6.2,8.8,4.8,65,4.719805582,9.719805582,6.534682634,56.27753148,94.06837616,0.205819791,83.85731716,0.10104213864975076,15.2,60287
"Volusia County, Florida",Florida,553284,3.4,12.5,15.2,13.8,35,6.130247844,11.19487226,7.935445939,74.66891192,98.59379887,0.814153048,184.9915148,0.21345095827820793,21.6,53766
"Walton County, Florida",Florida,74071,2.8,13.5,14.7,10.6,44.99,4.546717749,10.29740393,6.749904697,56.6383442,82.42949451,0.217291857,24.50311443,0.12277409512494764,19.5,60457
"Barrow County, Georgia",Georgia,83240,2.8,14.9,12.1,13.9,35,6.993872075,11.99387208,8.892415668,113.2422896,99.55666866,0,184.3449202,0.22463959634790964,18.2,69890
"Bartow County, Georgia",Georgia,107738,3.3,14.8,13.2,13.3,35,5.488701363,11.48870136,7.417216413,51.47999747,97.04142346,0.316030519,87.06431394,0.16406467541628766,19.9,59911
"Bibb County, Georgia",Georgia,153159,3.9,13.4,25.7,20.3,35,8.334471518,14.74620589,8.424229577,71.34194148,95.63227096,0.304084287,237.6230669,0.607251287877304,28.2,42140
"Bulloch County, Georgia",Georgia,79608,3.7,13.4,28.7,16.7,29,5.91108885,11.91108885,6.956773821,62.4559565,100,0.069468476,42.71567016,0.34934931162697214,26.3,50436
"Carroll County, Georgia",Georgia,119992,3.4,12.2,18.8,17.2,35,5.262102482,11.86958443,8.11093078,69.75503413,93.92833635,0.172946703,89.76724683,0.26325088339222613,21.2,61133
"Catoosa County, Georgia",Georgia,67580,3,12,9.8,10,35,13.7556288,19.7556288,13.22010506,59.90857493,99.15482542,0.001153569,157.855196,NA,18.8,61487
"Chatham County, Georgia",Georgia,289430,3.3,14.5,15.8,13.5,35,7.485154289,13.48515429,8.572336866,80.37847073,98.33769099,0.240482092,255.8861832,0.48505683584977366,16,57611
"Cherokee County, Georgia",Georgia,258773,2.7,10.9,8.1,5,35,8.159089759,13.75413568,9.146782746,154.7680883,98.77653757,0.024292094,221.8137088,0.14778589729222136,7.9,86404
"Clarke County, Georgia",Georgia,128331,3.6,14,31.3,14.2,35,6.610115346,11.69867746,8.336292178,91.89188065,99.83541834,0.178904415,403.5373333,0.37057297145662393,19.8,39799
"Clayton County, Georgia",Georgia,292256,4.2,19.2,20,22.5,35,6.155405066,11.15540507,7.668759182,84.97880848,99.62173851,0.177283314,759.4524648,0.8291395215153838,22.5,51093
"Cobb County, Georgia",Georgia,760141,3,13,10,7.8,35,6.909231898,12.01526516,8.613922619,114.4339466,98.74069508,0.285007521,846.6897774,0.4381200329938788,10,79601
"Columbia County, Georgia",Georgia,156714,3,8,8.8,5.1,35,7.163840002,12.2713895,8.570351983,104.1085014,93.85798056,0.111897259,196.0552786,0.2702375027119466,18.9,88761
"Coweta County, Georgia",Georgia,148509,2.9,10.4,11.1,9,35,6.713201654,12.41408292,8.713201654,81.23490485,98.43100972,0.067283471,123.0428652,0.24187759664397446,16.5,78423
"DeKalb County, Georgia",Georgia,759297,3.4,14.8,16.6,14.3,35,6.083820176,11.26670398,8.052984336,92.66205269,99.58310149,0.734106645,1071.792083,0.661604089045525,16.9,63652
"Dougherty County, Georgia",Georgia,87956,4.7,17,29.4,27.2,35,4.649643881,10.64964388,6.451685039,81.76915369,98.30378974,0,106.9675386,NA,28,35062
"Douglas County, Georgia",Georgia,146343,3.5,13.2,13.1,13.6,35,6.935530984,11.93553098,8.551254343,112.0595795,98.90370217,0.064469016,273.6920768,0.5526878634441005,20.8,62669
"Fayette County, Georgia",Georgia,114421,3,7.3,5.6,4.6,35,6.382571518,11.73240729,7.795548379,114.5845539,98.9483733,0.104106648,221.2247862,0.3439403605981419,10.6,92172
"Floyd County, Georgia",Georgia,98498,3.8,13.8,19.1,15.6,35,7.465931213,15.60073545,8.934090417,86.7448103,96.74063379,0.121198356,73.327379,0.22970009543340986,22.4,50880
"Forsyth County, Georgia",Georgia,244252,2.7,8.9,5.9,4,35,7.672526017,13.03929275,9.446068825,107.069866,99.57955995,0.070073341,378.0699634,0.2524851382997887,7.3,112108
"Fulton County, Georgia",Georgia,1063937,3.5,11,15.1,12.1,35,7.212016564,12.74104356,9.33117047,105.452082,99.37798842,0.748958852,749.0585218,0.5587473694401078,16.7,80013
"Glynn County, Georgia",Georgia,85292,3.3,14.1,18.3,16.8,35,5.854269959,11.37885763,7.483861176,76.64554159,98.4652307,0.010181625,77.27916697,0.34361956572714913,21.7,59004
"Gwinnett County, Georgia",Georgia,936250,3,17,11.4,8.5,35,6.841032985,11.97708392,8.589141689,115.0066496,99.50848091,0.205113827,809.1434093,0.5409623497997329,12.3,72109
"Hall County, Georgia",Georgia,204441,2.8,17.4,14.6,10.5,35,6.78408635,11.80630589,8.45244206,78.63233984,98.79622658,0.161763494,192.5293528,0.14403666583513097,17.6,67467
"Henry County, Georgia",Georgia,234561,3.5,11,10.4,10.8,35,6.252702685,11.57623865,8.252702685,83.48858406,99.8476734,0,268.1545574,0.5442379594220693,12.8,71939
"Houston County, Georgia",Georgia,157863,3.3,11.8,15.7,13.2,35,10.79206314,16.79206314,11.24124442,76.17167234,96.87310822,0.285376365,155.7337104,0.4207445696585014,20,66740
"Jackson County, Georgia",Georgia,72977,2.7,12,11,12.1,35,5.841309114,11.54597557,7.830363295,82.65852412,94.65692139,0.22815534,74.74438404,0.1551036627978678,21.6,65063
"Lowndes County, Georgia",Georgia,117406,3.5,15.8,25.2,18.8,35,7.905403867,13.3094894,8.864960275,54.00493715,94.65015461,0.232474006,88.98728352,0.45283886683815133,34.7,45683
"Muscogee County, Georgia",Georgia,195769,4.5,12.9,21.1,18.9,35,8.094891862,14.32499211,9.580551413,102.2289236,99.35686219,0.163111034,350.8393599,0.5743299500942437,24.7,46934
"Newton County, Georgia",Georgia,111744,3.9,12.3,17.9,19.2,35,7.233657235,12.23365723,8.876785023,68.36233413,98.91308643,1.62969e-4,150.205821,NA,17.5,57254
"Paulding County, Georgia",Georgia,168667,2.9,10.9,9.4,9.3,35,6.008350115,12.23101331,7.77938995,102.1029122,100,0,192.6729203,0.2547386269987608,15,75800
"Richmond County, Georgia",Georgia,202518,4.5,13.6,23.4,21.1,35,6.619268497,11.84941938,8.586354107,68.12942823,98.75706899,0.105776856,239.8436152,0.6457697587374949,27.4,44973
"Rockdale County, Georgia",Georgia,90896,3.8,13.6,15.2,12.6,35,6.699073908,11.69907391,7.674278545,92.54025811,99.09722172,0,264.7460085,0.632690107375462,20.5,60560
"Spalding County, Georgia",Georgia,66703,4,15.5,21.6,19.6,35,5.40360523,11.40271843,7.40360523,59.55503942,98.40803921,8.86796e-4,127.5010942,NA,33.1,51677
"Troup County, Georgia",Georgia,69922,3.2,12.7,20.5,17.7,35,6.501654792,11.73293541,8.401933722,81.96355498,97.21763762,0.231280621,65.07102644,0.4244014759303224,28.3,46198
"Walker County, Georgia",Georgia,69761,3.6,13.2,17.7,13,35,7.664960867,14.12422236,7.923351896,74.63828994,97.60347682,0.179899157,59.52885189,0.08081879560212724,26.3,47856
"Walton County, Georgia",Georgia,94593,3.1,11.2,12.9,11.6,35,6.582072414,11.58207241,8.582072414,81.0344243,94.83472544,0.085841282,106.4910448,0.2301227363546986,19.4,66176
"Whitfield County, Georgia",Georgia,104628,4.4,17.5,17.8,11.5,43.95,5.914523672,11.85063697,7.279707079,37.88981854,99.82745373,0.236432969,138.0549123,0.10905302595863442,22.2,52198
"Hawaii County, Hawaii",Hawaii,201513,3.4,5.2,16.6,19.4,54.99,3.968297383,10.31017465,3.527872862,46.67063411,92.97417168,0.566055762,18.94430327,0.6721303340231151,24,67075
"Honolulu County, Hawaii",Hawaii,974563,2.6,3.6,8.7,9.7,54.99,3.33660712,9.33660712,3.241941663,67.55923237,99.00725629,1,634.9517851,0.7986071705985144,14.4,87470
"Kauai County, Hawaii",Hawaii,72293,2.7,4.9,8.5,9.5,54.99,3.015706259,8.015706259,2.909677805,62.47622557,92.95920258,0.34065096499999997,44.45801384,0.6880195869586267,17.2,81971
"Maui County, Hawaii",Hawaii,167417,2.6,5.1,9.7,9.9,54.99,3.676311404,10.59635481,4.38894558,72.29366709,100,0.217994756,54.94076903,0.6637848681696599,16.7,80754
